serial_number,ph_action_number,ph_action_code,cm_sys_dt,ph_action_date,last_modified_date,oracle_apply_time,cm_prcd_num,ri_notif_dt,cm_desc,fifth_char_cm_type,cm_flg_paper,ttab_tracking_num,tm_worker_eid,create_ts,create_user_id,update_ts,update_user_id
74083454,3,CNSA,null,1991-02-07,1991-02-07T00:00:00.000Z,null,0,null,APPROVED FOR PUB - PRINCIPAL REGISTER,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74094976,37,REM2,2021-10-20,2021-10-20,2021-10-20T01:35:09.000Z,null,0,null,COURTESY REMINDER - SEC. 8 (10-YR)/SEC. 9 E-MAILED,E,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74097413,25,NA89,2012-12-13,2012-12-13,2012-12-13T23:01:12.000Z,null,0,null,NOTICE OF ACCEPTANCE OF SEC. 8 & 9 - E-MAILED,E,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74116898,7,DOCK,null,1991-08-30,1991-08-30T00:00:00.000Z,null,66593,null,ASSIGNED TO EXAMINER,D,0,null,66593,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74121466,8,CNPR,null,1992-01-09,1992-01-09T00:00:00.000Z,null,0,null,ALLOWED PRINCIPAL REGISTER - SOU ACCEPTED,P,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74129557,13,CNPR,null,1993-08-05,1993-08-05T00:00:00.000Z,null,0,null,ALLOWED PRINCIPAL REGISTER - SOU ACCEPTED,P,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74144627,1,DOCK,null,1991-06-13,1991-06-13T00:00:00.000Z,null,62343,null,ASSIGNED TO EXAMINER,D,0,null,62343,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74148434,1,DOCK,null,1991-06-20,1991-06-20T00:00:00.000Z,null,68478,null,ASSIGNED TO EXAMINER,D,0,null,68478,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74173339,5,NPUB,null,1992-03-13,1992-03-13T00:00:00.000Z,null,0,null,NOTICE OF PUBLICATION,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74194217,6,EXT1,null,1992-12-22,1992-12-22T00:00:00.000Z,null,0,null,SOU EXTENSION 1 FILED,S,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
